number,text,date,fav
60,boss texted back,2021-11-29 23:47:49+00:00,0
61, think boss hater lol wypipo are right,2021-11-29 23:47:39+00:00,2
62,im bored manager done left early gotta close 😭,2021-11-29 23:47:22+00:00,0
63,played dynamite radio getting car shrieked started dancing along boss parked next staring,2021-11-29 23:47:21+00:00,0
64,eugh house stuff ready cry moment thanks anxiety also need find way ask time move don’t know i’ll need it think boss might make hard pet head tell it’ll okay ,2021-11-29 23:47:11+00:00,0
65,turns tonight work boss never told schedule changed im stuck night ,2021-11-29 23:47:04+00:00,7
66,i don’t know socratic seminar don’t tell boss,2021-11-29 23:46:59+00:00,0
67,ignore boss every time calls using facetime,2021-11-29 23:46:55+00:00,1
68,manager sweet she’s actually best 🥲,2021-11-29 23:46:51+00:00,0
69,i’ll take 8430 shift day 11730 😭 imma nice talk w boss tomorrow,2021-11-29 23:46:46+00:00,0
70,come whit boss eventually going realize i’m barely working enough keep computer going sleep…and doesn’t track record buying excuses like do ,2021-11-29 23:46:22+00:00,1
71,boss even though we’re surrounded everyday 😭😭😭😭😭 ,2021-11-29 23:46:07+00:00,1
72,locked keys car back back work cause zay’s edibles pop lock man came sat mfers right back seat file another insurance claim tell manager going breakup explain head gone,2021-11-29 23:46:02+00:00,0
73,im bored fuck work took extra shift manager hang boyfriend shouldve told hot date renee 😔 ,2021-11-29 23:45:59+00:00,5
74,manager called cell way california say stop replying users go bed d d d,2021-11-29 23:45:52+00:00,2
75,wish could say boss tn ,2021-11-29 23:45:33+00:00,0
76,love write email boss boss suck job,2021-11-29 23:45:24+00:00,0
77,honestly got message boss yesterday like dont suppose get negative pcr heathrow monday morning  jfjddhjfdj,2021-11-29 23:45:20+00:00,1
78,store part chain work disclose incase get balls booted manager,2021-11-29 23:45:14+00:00,1
79,im dumb af thought boss really good money selling side,2021-11-29 23:45:07+00:00,1
80,like get boss book,2021-11-29 23:45:05+00:00,0
81,boss putting phones together max volume leaving space cause ton noise ,2021-11-29 23:44:39+00:00,44
82,told boss reach nights can’t boys needs additional cover since training nights don’t clash,2021-11-29 23:44:33+00:00,0
83,boss really audacity give hours specifically asked hours,2021-11-29 23:44:33+00:00,3
84,way boss talking pokémon play ✋🏼😩 gonna trade pokémon evolve 🥰,2021-11-29 23:44:26+00:00,0
85,boss talking email teams simultaneously wtf😅,2021-11-29 23:44:19+00:00,0
86,explaining tiktok saw boss today described “shortform video” save professional credibility,2021-11-29 23:43:41+00:00,5
87,bro accidentally asked boss green 😶‍🌫️,2021-11-29 23:43:32+00:00,0
88,manager dollar general txtn tlkinn bout needa opena business together lol i’m girl ,2021-11-29 23:43:24+00:00,1
89,yessss boss brought today im happyyy,2021-11-29 23:43:05+00:00,1
90,boss told go home time wednesday stayed ,2021-11-29 23:42:54+00:00,0
91,also last week yearend lunch boss gave delicious voucher spa treatment im definitely using week😂❤️,2021-11-29 23:42:28+00:00,0
92,opinion his also partner  boss…,2021-11-29 23:42:26+00:00,1
93,boss emailed new assignment specified need work 96… somebody told 11 5ing smh,2021-11-29 23:42:19+00:00,1
94,love boss makes feel like idiot run bathroom cry custoners dont see,2021-11-29 23:41:52+00:00,1
95,manager offered serve stay 😐,2021-11-29 23:41:47+00:00,0
96,candid conversation manager letting fears insecurities stop trying brb going take breather 🥲,2021-11-29 23:41:44+00:00,3
97,work everyday week expect saturday boss refuses let us work birthdays 💀,2021-11-29 23:41:43+00:00,4
98,boss wont let quit told go bed he’ll handle fleurourribffjdhdndndndhrjrhrjnfnfrhrjrj huh ,2021-11-29 23:41:42+00:00,0
99,boss waiting friday comes hard informing changes im waiting 17th two weeks end year say so place go two weeks cause give formal resignation,2021-11-29 23:41:36+00:00,2
100,would manager decide play still shift ,2021-11-29 23:41:30+00:00,0
101,2 work home night shift days heavier workload others usually know days plan accordingly boss bravely mans wall parent company really need deal fight stuff kind perfect,2021-11-29 23:41:29+00:00,0
102,used work company boss great one good female bosses worked for got invite queens garden party met celebs rod stewart etc comes back goes shocking thing  midgets,2021-11-29 23:40:44+00:00,0
103,ive frustrating 😫 dream job cheese factory wait boss steven know need triple meat pizza it me maybe ill need weekend vacation mean week im guy sir,2021-11-29 23:40:38+00:00,1
104,lmfao guy makes manager make bologna tomato mustard sandwich told friend asshole got coffee oh god much oh jeez get outta store rfn,2021-11-29 23:40:28+00:00,1
105,dawg cap gotta get new work shoes 💀💀💀 manager fuckin clowning tf outta today bro like dead asf bro,2021-11-29 23:40:27+00:00,0
106,me boss asks code doesnt work ,2021-11-29 23:40:11+00:00,11
107,purging bitterness today like 15 minute phone call boss told least 5 times everything happened last week “so fucking lame”  ultimate professional,2021-11-29 23:40:03+00:00,3
108,aye got nothing green field opportunity ahead you💯 boss told today calling era “the great resignation” amongst csuites companies worst time hiring folks right now take advantage shit sis 🧡,2021-11-29 23:39:58+00:00,1
109,know boss sick shit😭😭😂😂,2021-11-29 23:39:26+00:00,0
110,manager saying we don’t need hurt again ma’am i’m naturally clumsy 😭,2021-11-29 23:39:18+00:00,1
111,boss brainstorming solve workflow issues implementation ,2021-11-29 23:39:11+00:00,1
112,manager like bag smells like weed 😭 one time don’t anything lmao,2021-11-29 23:39:11+00:00,0
113,suggested boss looking job first thing morning,2021-11-29 23:38:47+00:00,0
114,today day 4 hours ago apparently boss sent msg come 3 day wednesday see was taking nap go in i 40 minutes late go in,2021-11-29 23:38:46+00:00,0
115,boss biggest bitch ever hate hoe fr,2021-11-29 23:38:40+00:00,0
116,heard yet manager feels like theyll want spring rs,2021-11-29 23:38:03+00:00,1
117,actually disagreement boss hiring student assistants recently boggled mind would tell pay was upfront boss seemed think power move keep salary hidden something,2021-11-29 23:37:56+00:00,4
118,ive looked boss eyes said im good quit happens,2021-11-29 23:37:52+00:00,2
119,manager really trynna guilt trip working birthday lmfaooo,2021-11-29 23:36:57+00:00,0
120,go again… antivaxxers claiming things don’t agree “harassment” also even though hannah may act like minor 18 plus claire isn’t boss i’m sure couldn’t care less personal social media accounts,2021-11-29 23:36:52+00:00,0
121,yep boss basically told wants days request advance like anyone else lady refused talk like month though mind you id literally covered days stayed late kid sick remember it,2021-11-29 23:36:41+00:00,1
122,ew gotta meet manager tomorrow already know don’t like,2021-11-29 23:36:39+00:00,2
123,boss text telling she’s leaving company next week surprised,2021-11-29 23:36:07+00:00,0
124,manager sold team also 30 sharing,2021-11-29 23:35:33+00:00,0
125,screaming boss like 😹😹😹😹😹😹 ,2021-11-29 23:35:20+00:00,2
126,okay drink alcohol ground it might boss ,2021-11-29 23:35:14+00:00,2
127,extent training every level finance “here picture make look like picture” one mentor real yelled boss much work him,2021-11-29 23:35:07+00:00,1
128,boss walked watching doctor work pulled office let know i’m getting raise lol,2021-11-29 23:34:59+00:00,1
129,whyyyyy boss makin handsome eh,2021-11-29 23:34:52+00:00,0
130,works great cemetary gardener 🙄🙄 glad boss realistic like theyre 6 feet anyway well go fuckin jobat work much contact people anyway😅 stay safe everybody🖤💚❤,2021-11-29 23:34:47+00:00,1
131,honestly felt like crying thinking manager didn’t like im glad brought 🥺 ,2021-11-29 23:34:16+00:00,0
132,boss always good passing hat im even im working next thirty minutes she’s like “are sure don’t need anything” yes it’s one half hour i’ll good,2021-11-29 23:34:15+00:00,1
133,dream dating nicole kidman manager kept trying interfere… pissed,2021-11-29 23:33:21+00:00,3
134,ive never missed day work since started 2008 personally saved auto parts plant 21m week downtime streamlining overtime process that manager took full credit promoted want talk doctor without going debt,2021-11-29 23:33:19+00:00,5
135,time cat surgery vet told needed watched day brought home boss pushed back taking time cause just cat told let boss hear thats off,2021-11-29 23:33:15+00:00,0
136,send manager picture sent text asking work acting like i’m nonexempt hourly told i’d vacation days since june 4 reminders… 🤢🤢🤢 ,2021-11-29 23:33:15+00:00,6
137,boss🙌🙌,2021-11-29 23:33:15+00:00,1
138,came work coworkers go “angie you’re back” “ look different like seem happy” customer says “ maybe got boyfriend” umm sir left one it’s lol boss says “ look refreshed” like yeah need it😂,2021-11-29 23:33:10+00:00,1
139,boss literally promoted tea boy onto big project heads qualified men coworker supposed friend staring meeting tongue practically hanging out get fuck here,2021-11-29 23:33:09+00:00,8
140,super nervous telling boss im quitting like sick same like sick,2021-11-29 23:32:58+00:00,3
141, regarding freedom speech  cant call boss dick expect get fired jus sayin ,2021-11-29 23:32:29+00:00,0
142,b thinkin bout good would b livin dad still 😭😭😭 way man made money like really went 500 knowin english owning multiple properties 😭😭😭 miss boss ass dad fr,2021-11-29 23:32:05+00:00,0
143,account paypal muin75gmailcom quikly bossgood luck,2021-11-29 23:31:54+00:00,0
144,must boss blowing christmas bonuses,2021-11-29 23:31:22+00:00,1
145,boss gave whole weekend deadbeats without asking  call divine timing xxx ,2021-11-29 23:30:57+00:00,6
146,boss said were still gonna work today bro looked outside theres giant naked girl wings crazy shit hate capitalism ,2021-11-29 23:30:43+00:00,3
147,boss’s boss bought us kfc today couldn’t stop thinking cartman peeling skin eating,2021-11-29 23:30:39+00:00,3
148,stopped workout early boss tell get later tonight 😞 damn,2021-11-29 23:30:39+00:00,0
149,time wanted homeless man could clean up make back story walk establishment become manager background checks necessary looks like video rental guy simpsons must legit,2021-11-29 23:30:15+00:00,0
150,manager got demoted today offered promotion store… lord know sign i’m in side 🙏🏼🙏🏼🙏🏼,2021-11-29 23:29:27+00:00,6
151,damn bosss boyfriend got many holes tho ,2021-11-29 23:29:19+00:00,7
152,yep manager work has got bad again except time hes full jabbed booster coincidence went work do got leglessmassive hangoverdetox felt rough test mongs,2021-11-29 23:29:06+00:00,2
153,audacity boss scheduling pens game could’ve gone to…,2021-11-29 23:29:02+00:00,1
154,winery open work crime supposed get bottle boss’s favorite wine christmas present 🙄,2021-11-29 23:28:47+00:00,0
155,well boss started talking furries general like 😳😳,2021-11-29 23:28:30+00:00,1
156,told manager going get tested covid bc feeling symptoms never even texted back quit huh,2021-11-29 23:28:22+00:00,34
157,manager sir help family im hardworking trust axie help gain higher mmr iam loyal sir,2021-11-29 23:28:06+00:00,0
158,manager scheduled meeting today… like illegal,2021-11-29 23:27:36+00:00,0
159,don’t think “peace out” right thing say boss another note sick sucks ,2021-11-29 23:27:34+00:00,3
160,boss make us sign 100 holiday cards clients today though,2021-11-29 23:27:29+00:00,2
161,manager sir help family im hardworking trust axie help gain higher mmr iam loyal sir,2021-11-29 23:27:09+00:00,0
162,watched live radio shift forgot couple breaks let songs run thankfully boss vacation,2021-11-29 23:27:04+00:00,6
163,it’s boss texting saying excited see weeks 😌😌 i’m ready make ,2021-11-29 23:26:51+00:00,5
164,send love please boss roll today already triggered anxiety attack im gonna fight him ,2021-11-29 23:26:49+00:00,3
165,water boss letting take short break,2021-11-29 23:26:41+00:00,1
166,another note boss trainer said seriously kicked ass today first day working independently 🥺 gave best feedback pointing things improve emphasizing right it’s nice healthy work environment 🥰,2021-11-29 23:26:38+00:00,7
167,“ don’t go ask boss shall we ” sarcastically suggested tilting head side let white fabric shirt fall shoulders “ yeah   clearly  think scream trustworthy elia you ” ,2021-11-29 23:26:33+00:00,0
168,customers annoying lady dad yell bc called manager finish transaction bc made cry bc wasnt helping correctly 🤣🤣🤣,2021-11-29 23:26:28+00:00,1
169,boss never got back 😒,2021-11-29 23:26:26+00:00,0
170,manager asked speak meeting today amp i’m pumped ready climb corporate ladder,2021-11-29 23:25:50+00:00,3
171,boss said “i keep inbox incredibly clean” felt bc sames,2021-11-29 23:25:47+00:00,1
172,boss told called proved need leave job asap,2021-11-29 23:25:37+00:00,2
173,happened sjaksj time manager thought crying head bar ,2021-11-29 23:25:36+00:00,1
174,ty babes you’re boss lady inspiration lt3,2021-11-29 23:25:27+00:00,0
175,started new job italy boss wants take care turtle like ,2021-11-29 23:25:15+00:00,1
176,log bcuz boss here,2021-11-29 23:25:09+00:00,1
177,manager maamsir help family 🙏🙏🙏,2021-11-29 23:24:51+00:00,0
178,hope  middle aged blond woman watchs black haired young rebellic girl  heard name hope good sign institute heard boss take serious here need smart girls like you ,2021-11-29 23:24:50+00:00,1
179,boss actual conversation had me good thanksgiving although things bit emotional since dad heart attack 3 weeks ago boss oh thats great hear me dies even inside,2021-11-29 23:24:39+00:00,1
180,thank dear baby jesus manger found one soul dang town master card comes monbebefication boss hoodie mineeeeee thedreaming 몬스타엑스 monstax ,2021-11-29 23:24:38+00:00,9
181,bc 27 year old bitch told manager old job rude belittling bc wasn’t job told bitch fucking job… made apologize ended quitting still lmaooo,2021-11-29 23:24:25+00:00,1
182,used tell crew go home miserable boss like that want fine idc fuck day then theyll regret acting like annoying little shits see short paychecks 🤷🏻‍♀️😁,2021-11-29 23:24:22+00:00,1
183,manager sir help family,2021-11-29 23:24:11+00:00,0
184,fighting company tirelessly past 2 months pay gave today told boss pay docked next check could consider resignation stay away asurion company theyve become immoral core,2021-11-29 23:23:24+00:00,6
185,manager im looking scholarship help family🙏🙏,2021-11-29 23:23:20+00:00,1
186,please tell boss,2021-11-29 23:23:14+00:00,0
187,back gamestop days ad would play constantly boss ended taking broken 360 controller anytime one us would get debate winner would scream “aquaman got mad sharks” fling shoulder controller abused ,2021-11-29 23:23:08+00:00,3
188,told boss move meeting wednesday pregame pelicans game wednesday lol hope luka healthy always fun watch person,2021-11-29 23:22:59+00:00,0
189,vess boss ,2021-11-29 23:22:50+00:00,1
190,feeling like pure shit want manager explains things well doesn’t vaguely ask things assume know they’re talking back,2021-11-29 23:22:05+00:00,0
191,boss told going fire person worst posture hunch might me,2021-11-29 23:22:02+00:00,0
192,course it’s turn speak manager hits hard questions… 🙄,2021-11-29 23:21:58+00:00,1
193,💯 worked position mine seven years because im fucking rube even though position filled thought manager recognized hard work put in position finally opened someone else chosen ever work to ,2021-11-29 23:21:54+00:00,2
194,manager 🇩🇪,2021-11-29 23:21:46+00:00,0
195,every week check w boss every week go thinking i’m going get fired get really nervous nauseous every week she’s like “you’re fine see next week”,2021-11-29 23:21:42+00:00,18
196,good day manager  james r balles looking foward scholar need one pleased start training times impress serve manager right best help impress dear manageri hope pick,2021-11-29 23:21:25+00:00,0
197,manager 🤯♥️ ,2021-11-29 23:21:11+00:00,0
198,boss two different wave levels today i’m trying let dissonance get 😒,2021-11-29 23:21:05+00:00,1
199,still haven’t paid work early october boss airing questions invoice ,2021-11-29 23:21:00+00:00,1
200,convince boss let bugger 6 months without giving job somebody else sure,2021-11-29 23:20:50+00:00,3
201,gary enjoyed coverage start finish great work boss🙏🏿💪🏾,2021-11-29 23:20:44+00:00,26
202,boss taking us ruth’s chris xmas dinner 🤌🏽,2021-11-29 23:20:34+00:00,1
203,boss,2021-11-29 23:20:23+00:00,0
204,thinking time boss former job asked hanukkah similar “ron kipper” like sir first all it’s yom kippur british brekkie food named ron second all no even close bruh,2021-11-29 23:19:44+00:00,7
205,boss let take home 😤,2021-11-29 23:19:38+00:00,3
206,i’m actually really happy boss put charge christmas tree nice people like appreciate it mom would always take ornaments put up rearrange them judge way it nice voice,2021-11-29 23:19:33+00:00,5
207,yes know sent text boss work,2021-11-29 23:19:24+00:00,3
208,boss asked come work day hate ,2021-11-29 23:19:14+00:00,1
209,first day work went well made work friend manager super chill excited finish training actually start plus means new stream schedule 🎉,2021-11-29 23:19:12+00:00,8
210,today informed boss 60 70000 people died jab athletes dropping everywhere shocked said get jab owns business wife teacher started shaking head,2021-11-29 23:18:59+00:00,1
211,gonna send boss therapist underpays ,2021-11-29 23:18:49+00:00,2
212,rude clients swamp much work today took vacation last week thanksgiving bitch friday 818am call then ps manager would like chime say 8am,2021-11-29 23:18:40+00:00,0
213,kabogo boss screenshot would save ,2021-11-29 23:18:25+00:00,0
214,need proper talk boss can’t take much longer don’t know solution though,2021-11-29 23:18:19+00:00,0
215,texted boss work night bcs want said okay sure tmr continue terus ai layan drama smbil tertidur 🤣,2021-11-29 23:18:17+00:00,0
216,boss always tells remain true voice fans,2021-11-29 23:18:11+00:00,2
217,boss gave thursday wants let room w d3 🧍,2021-11-29 23:18:08+00:00,1
218,filled 24 buckets 8 minutes boss said think are whispered kobe 🙏🏽,2021-11-29 23:17:21+00:00,0
219,boss refused hold gop accountable which exactly pelosi doing id sue maintaining safe work environment ridiculous plus lets watch nancy seat 12 new gop house reps elected participated 16,2021-11-29 23:17:12+00:00,0
220,boss bought chuys lunch i’m pretty sure made sick happy birthday me🥰,2021-11-29 23:17:04+00:00,0
221,sky mysteriously turned purple overnight monsters invading cities yet manager still wants come just case mf wants cheeseburger 😩smdh ,2021-11-29 23:16:48+00:00,8
222,thoughts exactly im keen rocking boat right now im going word manager theyre back weekend think provide device bare minimum phone,2021-11-29 23:16:18+00:00,3
223,boss seriously nicest man ,2021-11-29 23:15:47+00:00,0
224,manager im looking scholarship help family 🙏🙏🙏,2021-11-29 23:15:45+00:00,0
225,me “i requesting time off i’m letting know”😂💀 boss okay michelle like ever request ask that’s fine fun,2021-11-29 23:15:08+00:00,7
226,boss baby caring speech issues killing s song  even jonathan joins in check krystal gomezs video tiktok ,2021-11-29 23:15:06+00:00,0
227,boss don’t know kind workers hired cause ain’t even gon ready business proposal,2021-11-29 23:14:56+00:00,1
228,ic ive never done formaldocumented performance review manager manager none reports done me that’s true every place ive ever worked,2021-11-29 23:14:56+00:00,0
229,right bobba fett failed capture luke skywalker prevent killing boss minions sarlacc pit watch scene again it’s clearly me,2021-11-29 23:14:54+00:00,3
230,im sad registered this boss gave hours work not say couldnt cant watch live thank saying vod im glad ill able see another time,2021-11-29 23:14:54+00:00,10
231,sold 6k work boss said might might count 🙂 💩,2021-11-29 23:14:33+00:00,0
232,shade manager though that’s girl  period going back original topic hand  bonus doesn’t hit should…i’m out i’m high performer yes  i’m kind bored ready get feet wet progressivehigher paying company 🤷🏿‍♂️,2021-11-29 23:14:21+00:00,1
233,boss asked questions tomorrows deadline like yeah whats contigent plan aka when done like midnight tn worked change delivery items could actually stop working 6pm week 💯😭,2021-11-29 23:13:51+00:00,0
234,little child class said you know hes dead right boss said who said god,2021-11-29 23:13:35+00:00,4
235,wish could record boss talking sometimes cus that’s funniest ethiopian nigga know😭😭 “i would rather shit pay 600” says rich nigga😂,2021-11-29 23:13:14+00:00,0
236,get work boss wasn’t do headed home,2021-11-29 23:12:42+00:00,0
237,aww thanks hoping actually get doctors get fit note tomorrow morning get rest week off already leave booked next week amp hopefully ill getting back normal boss supportive thats good,2021-11-29 23:12:23+00:00,0
238,u wan break boss heart finally let see post delete asap oooo,2021-11-29 23:12:17+00:00,1
239,got clarify conservatives behave way boss leans right he’s provaccine,2021-11-29 23:12:05+00:00,1
240,‘my boss sent voicemail amp email everything’ yes documenting shit this 👀🤣,2021-11-29 23:11:58+00:00,3
241,boss yelling little ass phone can’t hear tiktok 😠,2021-11-29 23:11:58+00:00,2
242,manager isn’t even gay curious told bc j super sweet 🥺🥺🥺🥺,2021-11-29 23:11:55+00:00,2
243,boss foodie im telling palestinian food recipes summer sent,2021-11-29 23:11:48+00:00,4
244,entire block destroyed boss still asking come work jesus christ ,2021-11-29 23:11:41+00:00,0
245,good morning axie scholarship choose becausei want help you pls help little bit experience need experience improve self line experience like aap bbprbp last manager server coaching everyone friend,2021-11-29 23:11:25+00:00,2
246,manager rean schwarzer despite starting goat steel yet well,2021-11-29 23:11:19+00:00,4
247,girl accidentally flipped manager walked store meant throw peace sign up… instinct point 😅😭 ,2021-11-29 23:11:09+00:00,2
248,means said boss told remind like wtf 🤣,2021-11-29 23:10:50+00:00,0
249,boss scares shit creates small talk im waiting day makes look dumb lol,2021-11-29 23:10:43+00:00,0
250,manager asks got new dog i’m busy time,2021-11-29 23:10:12+00:00,1
251,im selfemployed even cant wait tell boss fuck saitama makes financially free ill saying still gonna fun,2021-11-29 23:09:43+00:00,357
252,help boss commit act hubris may survive ,2021-11-29 23:09:43+00:00,49
253,asked boss this anyone hiring,2021-11-29 23:09:42+00:00,0
254,forced watch high school theater job boss wanted security rowdy kids sat watched it,2021-11-29 23:09:31+00:00,0
255,manager keep telling go home early … don’t like,2021-11-29 23:08:10+00:00,1
256,glad decided give boebert pass nancy boss id sue failure keep safe work,2021-11-29 23:07:59+00:00,0
257,boss went missing lmao,2021-11-29 23:07:57+00:00,1
258,why cant find anyone wants work boss pays minimum wage expects people work 8 hour shifts trial day headarsery astounds me,2021-11-29 23:07:51+00:00,1
259,worked 13 hr shift today gonna sit corner cry 😭… good luck boss cuz today he’s gonna dealing cranky whiny human 😏,2021-11-29 23:07:43+00:00,0
260,choose because want help you pls help little bit experience need experience improve self line experience like aap bbp rbp last manager server coaching everyone friend,2021-11-29 23:07:35+00:00,0
261,boss put charge authorizing appointments toddler go away ,2021-11-29 23:07:34+00:00,1
262,finishes 40 hr work week wow haha i’m tired my boss schedules 44 hours oh 😃,2021-11-29 23:07:21+00:00,2
263,boss posted schedule month advance never that guess who’s going home christmas smfh,2021-11-29 23:07:15+00:00,0
264,virtually pinky promised manager wouldn’t leave give heads cause really respect advocating he’s done me two ppl quit one day,2021-11-29 23:07:03+00:00,0
265,despite that supposed meet coworkers first time person since work state amp boss show lmao,2021-11-29 23:06:44+00:00,2
266,didn’t 😂 asked time boss refused allowed work home still couldn’t function properly needed that’s,2021-11-29 23:06:39+00:00,0
267,practically manager made whole ass itinerary,2021-11-29 23:06:32+00:00,0
268,please review told me regarding power constantly shut off mgmt well aware of disabled tenant endured constant targeted attacks manager refused call back latest incident why need help ,2021-11-29 23:06:25+00:00,1
269,white haired imp girl glares male her who exactly  know know boss  look like someone good mind,2021-11-29 23:06:23+00:00,0
